Limsa Lominsa Upper Docks|リムサ・ロミンサ：上甲板層
Limsa Lominsa Lower Docks|リムサ・ロミンサ：下甲板層
Ul'dah - Steps Of Nald|ウルダハ：ナル回廊
Ul'dah - Steps Of Thal|ウルダハ：ザル回廊
New Gridania|グリダニア：新市街
Old Gridania|グリダニア：旧市街
Middle La Noscea|中央ラノシア
Lower La Noscea|低地ラノシア
Eastern La Noscea|東ラノシア
Western La Noscea|西ラノシア
Upper La Noscea|高地ラノシア
Western Thanalan|西ザナラーン
Central Thanalan|中央ザナラーン
The Dragon's Neck|アマジナ杯闘技会決勝戦
The Steps Of Faith|皇都イシュガルド防衛戦
The Gold Saucer|マンダヴィル・ゴールドソーサー
Eastern Thanalan|東ザナラーン
Southern Thanalan|南ザナラーン
Northern Thanalan|北ザナラーン
Central Shroud|黒衣森：中央森林
The Feasting Grounds|ウルヴズジェイル演習場
The Keeper Of The Lake|幻龍残骸 黙約の塔
The World Of Darkness|クリスタルタワー：闇の世界
East Shroud|黒衣森：東部森林
South Shroud|黒衣森：南部森林
North Shroud|黒衣森：北部森林
Coerthas Central Highlands|クルザス中央高地
Mor Dhona|モードゥナ
Sastasha|天然要害 サスタシャ侵食洞
Brayflox's Longstop|奪還支援 ブレイフロクスの野営地
The Wanderer's Palace|旅神聖域 ワンダラーパレス
Pharos Sirius|怪鳥巨塔 シリウス大灯台
Copperbell Mines|封鎖坑道 カッパーベル銅山
Halatali|魔獣領域 ハラタリ修練所
The Sunken Temple Of Qarn|遺跡探索 カルン埋没寺院
The Tamtara Deepcroft|地下霊殿 タムタラの墓所
Haukke Manor|名門屋敷 ハウケタ御用邸
Amdapor Keep|邪教排撃 古城アムダプール
The Stone Vigil|城塞攻略 ストーンヴィジル
The Thousand Maws Of Totorak|監獄廃墟 トトラクの千獄
Cutter's Cry|流砂迷宮 カッターズクライ
Dzemael Darkhold|掃討作戦 ゼーメル要塞
The Aurum Vale|霧中行軍 オーラムヴェイル
The Labyrinth Of The Ancients|クリスタルタワー：古代の民の迷宮
Mordion Gaol|モルディオン監獄
Mizzenmast Inn|宿屋「ミズンマスト」
The Hourglass|宿屋「砂時計亭」
The Roost|旅館「とまり木」
Outer La Noscea|外地ラノシア
Limsa Lominsa|リムサ・ロミンサ
The Wanderer's Palace (Hard)|武装聖域 ワンダラーパレス (Hard)
Amdapor Keep (Hard)|邪念排撃 古城アムダプール (Hard)
Under The Armor|ギルドオーダー『彷徨う死霊を討て！』
Pulling Poison Posies|ギルドオーダー『有毒妖花を駆除せよ！』
