ブロックス,漂流遺跡
アイス・レガトゥス,漂流遺跡
ウィンド・レガドゥス,漂流遺跡
ライトニング・レガドゥス,漂流遺跡
ウェイク・オブ・マハ,漂流遺跡
ウェイル・オブ・マハ,漂流遺跡
ウォームス・オブ・マハ,漂流遺跡
ウォー・オブ・マハ,漂流遺跡
ブエルズ・ハウンド,漂流遺跡
氷属性増幅クリスタル,漂流遺跡
雷属性増幅クリスタル,漂流遺跡
風属性増幅クリスタル,漂流遺跡
ブエル,漂流遺跡
アリーナ・スライム,デビューマッチ
アリーナ・デュラハン,デビューマッチ
アリーナ・プリン,プリン・アラモード
アリーナ・マシュマロ,プリン・アラモード
アリーナ・ババロア,プリン・アラモード
アリーナ・ジェラート,プリン・アラモード
アリーナ・フラン,プリン・アラモード
アリーナ・リコリス,プリン・アラモード
シパクナー,最初の岩壁「シパクナー」
アリーナ・バット,怪力の鉄巨人「クレイオス」
アリーナ・ウルフ,怪力の鉄巨人「クレイオス」
クレイオス,怪力の鉄巨人「クレイオス」
ギルガメブラザー,ギルガメブラザーズ
アリーナ・カトブレパス,ブラインド・フューリー
アリーナ・マンドラゴラ,ブラインド・フューリー
アリーナ・アイ,ブラインド・フューリー
ラヴァスライム,シアーハートアタック
アイススプライト,シアーハートアタック
闘技システム,シアーハートアタック
アリーナ・タイニーボム,青い牙、赤い牙
アリーナ・スノール,青い牙、赤い牙
アリーナ・ボム,青い牙、赤い牙
アリーナ・マザーボム,青い牙、赤い牙
ギモーヴ,七色の甘味「ギモーヴ」
クロムドゥーブ,偶像の王者「クロムドゥーブ」
アリーナ・ガスボム,爆ボム・ファーストアタック
アリーナ・ローズレット,寄生植物「ヒドノラ」
ヒドノラ,寄生植物「ヒドノラ」
アリーナ・ハーゲンティ,紅の死妖姫「カーミラ」
アリーナ・ヴォドリガ,紅の死妖姫「カーミラ」
カーミラ,紅の死妖姫「カーミラ」
アリーナ・ポイズンジャム,死なばもろともーッ！
闘獣システム,アラグの脅威「闘獣システム」
アリーナ・サイクロプス,豪腕の獣王「ティクバラン」
ティクバラン,豪腕の獣王「ティクバラン」
ライトクロー,豪柔の鉄巨人「クレイオス改」
レフトクロー,豪柔の鉄巨人「クレイオス改」
アリーナ・マンティコア,爆破デスマッチ
リフレクティブ・レベッカ,魅惑の芳香「リフレクティブ・レベッカ」
オルトロス,名コンビ「オルトロス＆テュポーン」
アリーナ・インプ,憤怒の合成獣「アペデマク」
アペデマク,憤怒の合成獣「アペデマク」
アリーナ・グレネード,爆発の対消滅「グランパボム」
グランパボム,爆発の対消滅「グランパボム」
クロンプリンツ・ベヒーモス,魔獣の皇太子「クロンプリンツ・ベヒーモス」
アリーナ・バイキング,異形の人形師「エペロギ」
アリーナ・マグス,異形の人形師「エペロギ」
